"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"258",11,"Greg Dulcich",MIA,"TE32","6","4 out of 5","4 out of 5","5 out of 5 stars","-45"
"259",12,"Christian Kirk",SF,"WR93","8","3 out of 5","4 out of 5","2 out of 5 stars","-4"
"260",12,"Chris Bell",MIA,"WR94","6","3 out of 5","4 out of 5","3 out of 5 stars","+10"
"261",12,"Ty Johnson",BUF,"RB73","7","-","-","2 out of 5 stars","+40"
"262",12,"Elijah Sarratt",BAL,"WR95","13","4 out of 5","4 out of 5","4 out of 5 stars","+47"
"263",12,"Mason Taylor",NYJ,"TE33","13","1 out of 5","4 out of 5","4 out of 5 stars","+23"
"264",12,"Ja'Kobi Lane",BAL,"WR96","13","3 out of 5","4 out of 5","4 out of 5 stars","-88"
"265",12,"Darius Slayton",NYG,"WR97","8","3 out of 5","4 out of 5","4 out of 5 stars","+148"
"266",12,"Jordan James",SF,"RB74","8","2 out of 5","4 out of 5","2 out of 5 stars","-30"
"267",12,"Xavier Legette",CAR,"WR98","5","2 out of 5","4 out of 5","2 out of 5 stars","+151"
"268",12,"Chris Brooks",GB,"RB75","11","2 out of 5","4 out of 5","4 out of 5 stars","+122"
"269",12,"LeQuint Allen Jr.",JAC,"RB76","7","2 out of 5","4 out of 5","4 out of 5 stars","+114"
"270",12,"Marvin Mims Jr.",DEN,"WR99","10","3 out of 5","4 out of 5","2 out of 5 stars","+23"
"271",12,"Trey Benson",ARI,"RB77","14","2 out of 5","4 out of 5","2 out of 5 stars","+48"
"272",12,"Wil Lutz",DEN,"K16","10","-","-","1 out of 5 stars","-57"
"273",12,"Samaje Perine",CIN,"RB78","6","2 out of 5","4 out of 5","2 out of 5 stars","+8"
"274",12,"Tyquan Thornton",KC,"WR100","5","2 out of 5","5 out of 5","2 out of 5 stars","+124"
"275",12,"Theo Johnson",NYG,"TE34","8","1 out of 5","5 out of 5","3 out of 5 stars","+35"
"276",12,"Will Reichard",MIN,"K17","6","-","-","2 out of 5 stars","-87"
"277",12,"DJ Giddens",IND,"RB79","13","2 out of 5","4 out of 5","4 out of 5 stars","+31"
"278",12,"Michael Penix Jr.",ATL,"QB32","11","1 out of 5","5 out of 5","4 out of 5 stars","+9"
