Rank,Tier,Name,Team,Position,BYE WEEK,SOS SEASON,ECR VS. ADP
162,10,Chig Okonkwo,TEN,TE,10,3 out of 5 stars,53
163,10,Kyle Williams,NE,WR,14,3 out of 5 stars,5
164,10,Philadelphia Eagles,PHI,DST,9,2 out of 5 stars,17
165,10,Jalen McMillan,TB,WR,9,3 out of 5 stars,11
166,10,DeMario Douglas,NE,WR,14,3 out of 5 stars,66
167,10,Pittsburgh Steelers,PIT,DST,5,3 out of 5 stars,18
168,10,Jaylen Wright,MIA,RB,12,4 out of 5 stars,3
169,11,Kyle Pitts Sr.,ATL,TE,5,3 out of 5 stars,-30
170,11,Romeo Doubs,GB,WR,5,2 out of 5 stars,13
171,11,Baltimore Ravens,BAL,DST,7,3 out of 5 stars,17
172,11,Roschon Johnson,CHI,RB,5,3 out of 5 stars,6
173,11,Minnesota Vikings,MIN,DST,6,2 out of 5 stars,49
174,11,Jonnu Smith,PIT,TE,5,3 out of 5 stars,-72
175,11,Quentin Johnston,LAC,WR,12,3 out of 5 stars,11
176,11,Houston Texans,HOU,DST,6,2 out of 5 stars,16
177,11,Mike Gesicki,CIN,TE,10,2 out of 5 stars,32
178,11,Sam Darnold,SEA,QB,8,4 out of 5 stars,30
179,11,Adam Thielen,CAR,WR,14,4 out of 5 stars,-14
180,11,Keenan Allen,FA,WR,-,-,22
181,11,Anthony Richardson Sr.,IND,QB,11,3 out of 5 stars,8
182,11,Brandon Aubrey,DAL,K,10,4 out of 5 stars,-75
183,11,Jack Bech,LV,WR,8,4 out of 5 stars,-40
184,11,Buffalo Bills,BUF,DST,7,5 out of 5 stars,6
185,11,Zach Ertz,WAS,TE,12,3 out of 5 stars,-36
186,11,Cameron Dicker,LAC,K,12,5 out of 5 stars,-68
187,11,Justice Hill,BAL,RB,7,4 out of 5 stars,0
188,11,Dallas Cowboys,DAL,DST,10,0 out of 5 stars,10
189,11,Jake Bates,DET,K,8,1 out of 5 stars,-61
190,11,Cameron Ward,TEN,QB,10,2 out of 5 stars,7
191,11,Kareem Hunt,KC,RB,10,2 out of 5 stars,-24
192,11,Los Angeles Rams,LAR,DST,8,3 out of 5 stars,52
193,11,Blake Corum,LAR,RB,8,3 out of 5 stars,28
